Array size,MSD,MSD_arr,MCR,
21,2.22059e+06,210948,38905,
22,2.43182e+06,232409,33340,
23,2.45157e+06,247322,36101,
24,2.56412e+06,236469,36632,
25,2.58353e+06,243843,38072,
26,2.66377e+06,254109,32825,
27,2.90938e+06,288067,38161,
28,2.8873e+06,267480,37189,
29,2.97132e+06,276197,36443,
30,3.19365e+06,298937,35875,
39,3.96469e+06,363258,36021,
48,4.73634e+06,430787,34255,
57,5.60983e+06,506451,37726,
66,6.35291e+06,562593,35981,
75,7.33985e+06,686949,37164,
84,8.11764e+06,780103,39468,
93,8.81018e+06,790818,39124,
102,9.5751e+06,838432,38896,
111,1.09008e+07,992430,38195,
120,1.13157e+07,958943,36360,
210,1.88278e+07,1.59314e+06,42337,
300,2.70325e+07,2.34479e+06,37353,
390,3.34174e+07,2.89659e+06,37279,
480,4.07313e+07,3.52472e+06,36883,
570,4.91765e+07,4.16478e+06,39756,
660,5.77461e+07,4.85636e+06,38372,
750,6.48057e+07,5.43092e+06,38241,
840,7.18598e+07,5.99446e+06,36268,
930,7.83696e+07,6.63881e+06,41578,
1020,8.17251e+07,7.12736e+06,40169,
1920,1.90506e+08,1.31966e+07,45327,
2820,2.33058e+08,1.96684e+07,47380,
3720,2.93682e+08,2.57854e+07,44095,
4620,3.51666e+08,2.9131e+07,49293,
5520,3.96878e+08,3.39503e+07,46998,
6420,4.57055e+08,3.99227e+07,46583,
7320,5.18334e+08,4.3769e+07,47273,
8220,5.76923e+08,4.8571e+07,50756,
9120,6.33623e+08,5.43732e+07,51556,
10020,6.87262e+08,5.77217e+07,53351,
19020,1.21554e+09,9.39228e+07,51452,
28020,1.77228e+09,1.31392e+08,60710,
37020,2.39097e+09,1.64642e+08,54856,
46020,2.69989e+09,1.92042e+08,54448,
55020,3.16463e+09,2.24472e+08,57100,
64020,3.66153e+09,2.54931e+08,59816,
73020,4.29269e+09,2.86844e+08,70840,
82020,4.65092e+09,3.17461e+08,70220,
91020,5.53974e+09,3.51578e+08,68549,
100020,5.59454e+09,3.75983e+08,71442,
